Ab 1. Nov 2019 10,08 9,79 7,70 6,95
Ab 1. Dez 2019 9,97 9,69 7,62 6,88
Ab 1. Jan 2020 9,87 9,59 7,54 6,80
Ab 1. Feb 2020 9,72 9,45 7,42 6,70
Ab 1. Mrz 2020 9,58 9,31 7,31 6,60
Ab 1. Apr 2020 9,44 9,18 7,21 6,50
Ab 1. Mai 2020 9,30 9,04 7,10 6,41
Ab 1. Jun 2020 9,17 8,91 7,00 6,31
Ab 1. Jul 2020 9,03 8,78 6,89 6,22
Ab 1. Aug 2020 8,90 8,65 6,79 6,13
Ab 1. Sep 2020 8,77 8,53 6,69 6,03
Ab 1. Okt 2020 8,64 8,40 6,59 5,94
Ab 1. Nov 2020 8,48 8,24 6,46 5,83
Ab 1. Dez 2020 8,32 8,09 6,34 5,72
Ab 1. Jan 2021 8,16 7,93 6,22 5,61
Ab 1. Feb 2021 8,04 7,81 6,13 5,53
Ab 1. März 2021 7,92 7,70 6,04 5,44
Ab 1. April 2021 7,81 7,59 5,95 5,36
Ab 1. Mai 2021 7,69 7,47 5,86 5,28
Ab 1. Juni 2021 7,58 7,36 5,77 5,20
Ab 1. Juli 2021 7,47 7,25 5,68 5,12
Ab 1. Aug 2021 7,36 7,15 5,60 5,05
Ab 1. Sept 2021 7,25 7,04 5,51 4,97
Ab 1. Okt 2021 7,14 6,94 5,43 4,89
Ab 1. Nov 2021 7,03 6,83 5,35 4,82
Ab 1. Dez 2021 6,93 6,73 5,27 4,75
Ab 1. Jan 2022 6,83 6,63 5,19 4,67
Ab 1. Feb 2022 6,73 6,53 5,11 4,60
Ab 1. März 2022 6,63 6,44 5,03 4,53
Ab 1. April 2022 6,53 6,34 4,96 4,46
Ab 1. Mai 2022 6,43 6,25 4,88 4,40
Ab 1. Juni 2022 6,34 6,15 4,81 4,33
Ab 1. Juli 2022 6,24 6,06 4,74 4,26
Ab 1. Aug 2022 6,15 5,97 4,66 4,20
Ab 1. Sept 2022 6,06 5,88 4,59 4,13
Ab 1. Okt 2022 5,97 5,80 4,52 4,07 